id;start_date;end_date;language
1;2020-03-31T17:04:00;2020-03-31T14:54:15;SPANISH
2;2020-03-30T21:54:11;2020-03-31T16:58:36;SPANISH
3;2020-03-31T12:49:30;2020-03-30T23:23:39;FRENCH
4;2020-03-31T04:07:01;2020-03-31T15:38:27;FRENCH
5;2020-03-31T13:37:19;2020-03-31T18:24:18;FRENCH
6;2020-03-31T07:29:40;2020-03-31T19:37:54;FRENCH
7;2020-03-31T09:15:00;2020-03-31T03:05:51;FRENCH
8;2020-03-31T08:11:13;2020-03-31T18:27:21;SPANISH
9;2020-03-31T06:52:22;2020-03-31T03:33:45;SPANISH
10;2020-03-31T15:04:26;2020-03-31T01:38:56;SPANISH
